CMDLINE /Users/cconlon/anaconda3/bin/python3.7 2_Process_WRDS_Data.py
MEM 28633.808594 1593110551.7531
MEM 28633.808594 1593110551.8548
MEM 28633.808594 1593110551.9553
MEM 28633.808594 1593110552.0601
MEM 28633.808594 1593110552.1604
MEM 28633.808594 1593110552.2608
MEM 28633.808594 1593110552.3660
MEM 28633.808594 1593110552.4675
MEM 28633.808594 1593110552.5677
MEM 28633.808594 1593110552.6686
MEM 28633.808594 1593110552.7690
MEM 28633.808594 1593110552.8738
MEM 28633.808594 1593110552.9751
MEM 28633.808594 1593110553.0764
MEM 28633.808594 1593110553.1775
MEM 28633.808594 1593110553.2788
MEM 28633.808594 1593110553.3794
MEM 28633.808594 1593110553.4813
MEM 28633.808594 1593110553.5825
MEM 28633.808594 1593110553.6827
MEM 28633.808594 1593110553.7829
MEM 28633.792969 1593110553.8845
MEM 28633.617188 1593110553.9865
MEM 28633.617188 1593110554.0904
MEM 28633.636719 1593110554.1910
MEM 28633.656250 1593110554.2913
MEM 28633.675781 1593110554.3925
MEM 28633.695312 1593110554.4931
MEM 28633.710938 1593110554.5934
MEM 28633.734375 1593110554.6961
MEM 28633.753906 1593110554.7963
MEM 28633.773438 1593110554.8984
MEM 28633.792969 1593110555.0000
MEM 28633.792969 1593110555.1026
MEM 28633.792969 1593110555.2078
MEM 28633.789062 1593110555.3106
MEM 28633.792969 1593110555.4125
MEM 28633.792969 1593110555.5127
MEM 28633.792969 1593110555.6153
MEM 28633.792969 1593110555.7201
MEM 28633.792969 1593110555.8213
MEM 28633.792969 1593110555.9216
MEM 28633.792969 1593110556.0233
MEM 28633.792969 1593110556.1276
MEM 28633.792969 1593110556.2320
MEM 28633.792969 1593110556.3351
MEM 28633.792969 1593110556.4399
MEM 28633.792969 1593110556.5402
MEM 28633.792969 1593110556.6425
MEM 28633.792969 1593110556.7440
MEM 28633.792969 1593110556.8487
MEM 28633.792969 1593110556.9521
MEM 28633.792969 1593110557.0523
MEM 28633.792969 1593110557.1527
MEM 28633.792969 1593110557.2571
MEM 28633.792969 1593110557.3623
MEM 28633.792969 1593110557.4663
MEM 28633.792969 1593110557.5715
MEM 28633.792969 1593110557.6762
MEM 28633.792969 1593110557.7780
MEM 28633.769531 1593110557.8800
MEM 28633.769531 1593110557.9813
MEM 28633.769531 1593110558.0826
MEM 28633.769531 1593110558.1829
MEM 28633.769531 1593110558.2843
MEM 28633.769531 1593110558.3863
MEM 28633.769531 1593110558.4876
MEM 28633.769531 1593110558.5888
MEM 28633.769531 1593110558.6890
MEM 28633.769531 1593110558.7907
MEM 28633.769531 1593110558.8959
MEM 28633.769531 1593110559.0011
MEM 28633.769531 1593110559.1063
MEM 28633.769531 1593110559.2076
MEM 28633.769531 1593110559.3078
MEM 28633.769531 1593110559.4090
MEM 28633.769531 1593110559.5114
MEM 28633.769531 1593110559.6115
MEM 28633.769531 1593110559.7118
MEM 28633.769531 1593110559.8139
MEM 28633.765625 1593110559.9163
MEM 28633.769531 1593110560.0191
MEM 28633.769531 1593110560.1243
MEM 28639.589844 1593110560.2247
MEM 28658.968750 1593110560.3287
MEM 28633.312500 1593110560.4291
MEM 28633.042969 1593110560.5343
MEM 28633.042969 1593110560.6363
MEM 28633.042969 1593110560.7376
MEM 28633.058594 1593110560.8388
MEM 28633.031250 1593110560.9391
MEM 28633.246094 1593110561.0413
MEM 28633.281250 1593110561.1439
MEM 28633.281250 1593110561.2491
MEM 28633.281250 1593110561.3544
MEM 28633.281250 1593110561.4576
MEM 28633.281250 1593110561.5589
MEM 28633.281250 1593110561.6601
MEM 28633.281250 1593110561.7614
MEM 28633.281250 1593110561.8664
MEM 28633.281250 1593110561.9716
MEM 28633.281250 1593110562.0726
MEM 28633.246094 1593110562.1753
MEM 28633.246094 1593110562.2789
MEM 28633.250000 1593110562.3801
MEM 28633.250000 1593110562.4814
MEM 28633.250000 1593110562.5827
MEM 28633.250000 1593110562.6839
MEM 28633.250000 1593110562.7851
MEM 28633.250000 1593110562.8903
MEM 28633.250000 1593110562.9923
MEM 28633.238281 1593110563.0964
MEM 28633.257812 1593110563.2013
MEM 28633.257812 1593110563.3027
MEM 28633.257812 1593110563.4038
MEM 28633.257812 1593110563.5077
MEM 28633.257812 1593110563.6129
MEM 28633.257812 1593110563.7164
MEM 28633.257812 1593110563.8166
MEM 28633.257812 1593110563.9213
MEM 28632.753906 1593110564.0226
MEM 28633.257812 1593110564.1239
MEM 28633.257812 1593110564.2251
MEM 28633.257812 1593110564.3260
MEM 28633.257812 1593110564.4276
MEM 28633.257812 1593110564.5289
MEM 28633.257812 1593110564.6301
MEM 28633.257812 1593110564.7315
MEM 28633.257812 1593110564.8367
MEM 28633.257812 1593110564.9418
MEM 28633.257812 1593110565.0452
MEM 28633.257812 1593110565.1476
